Epoch,Phase,Iteration,Loss

30,Training,12000,0.0,0.01041320413692231
30,Training,12000,0.0,0.00846716319287163

30,Val,12000,0.0,0.010071865199533611
30,Val,12000,0.0,0.009110624237894436

30,Training,12300,0.0,0.008627185738752144
30,Training,12300,0.0,0.0076004344918599595

30,Val,12300,0.0,0.009724520659112957
30,Val,12300,0.0,0.008706694532936243

31,Training,12600,0.0,0.009706901333090032
31,Training,12600,0.0,0.007937392982174375

31,Val,12600,0.0,0.009441475173745596
31,Val,12600,0.0,0.008736020541312013

32,Training,12900,0.0,0.009581647883315534
32,Training,12900,0.0,0.008245818190862038

32,Val,12900,0.0,0.009423988075528173
32,Val,12900,0.0,0.008638843934045346

32,Training,13200,0.0,0.007246405130273772
32,Training,13200,0.0,0.006220430344744266

32,Val,13200,0.0,0.009470024646807114
32,Val,13200,0.0,0.009002606676695488

33,Training,13500,0.0,0.009567046019878003
33,Training,13500,0.0,0.008245205113735856

33,Val,13500,0.0,0.009299527060115392
33,Val,13500,0.0,0.009121986558386442

34,Training,13800,0.0,0.009420909381758935
34,Training,13800,0.0,0.008226395824366482

34,Val,13800,0.0,0.009401050684717556
34,Val,13800,0.0,0.00865703858324387

35,Training,14100,0.0,0.009720790158406899
35,Training,14100,0.0,0.0076770505252795

35,Val,14100,0.0,0.009855958241434192
35,Val,14100,0.0,0.008790774172428911

35,Training,14400,0.0,0.008028868779965535
35,Training,14400,0.0,0.0068013855842617025

35,Val,14400,0.0,0.009620568785001345
35,Val,14400,0.0,0.008635758449618221

36,Training,14700,0.0,0.009460634627492208
36,Training,14700,0.0,0.008101472806202851

36,Val,14700,0.0,0.009516969113011179
36,Val,14700,0.0,0.008502146898231436

37,Training,15000,0.0,0.009136515562022773
37,Training,15000,0.0,0.008006234975823711

37,Val,15000,0.0,0.009429428576154142
37,Val,15000,0.0,0.00870848419034059

38,Training,15300,0.0,0.010021324718925476
38,Training,15300,0.0,0.009799312636790658

38,Val,15300,0.0,0.009215987107162588
38,Val,15300,0.0,0.008658141778018172

38,Training,15600,0.0,0.008870289015688383
38,Training,15600,0.0,0.007453036046479653

38,Val,15600,0.0,0.009153663735186742
38,Val,15600,0.0,0.008430385346049587

39,Training,15900,0.0,0.009316379574063881
39,Training,15900,0.0,0.007945479064993023

39,Val,15900,0.0,0.009461820842548848
39,Val,15900,0.0,0.008601309871572722

40,Training,16200,0.0,0.00940156606838942
40,Training,16200,0.0,0.008167398694189604

40,Val,16200,0.0,0.009336247675599015
40,Val,16200,0.0,0.00848943686947538

40,Training,16500,0.0,0.007129752840908441
40,Training,16500,0.0,0.006029346729248448

40,Val,16500,0.0,0.009691872321777838
40,Val,16500,0.0,0.008662585496635317

41,Training,16800,0.0,0.009281857214016734
41,Training,16800,0.0,0.007778349229438608

41,Val,16800,0.0,0.009097374652916873
41,Val,16800,0.0,0.008531285293417151

42,Training,17100,0.0,0.009460704647176795
42,Training,17100,0.0,0.008307866185367718

42,Val,17100,0.0,0.00905705344515421
42,Val,17100,0.0,0.008433455857314021

43,Training,17400,0.0,0.009784795731868683
43,Training,17400,0.0,0.007659204922596042

43,Val,17400,0.0,0.009069826245610698
43,Val,17400,0.0,0.00841974901614924

43,Training,17700,0.0,0.007744528555750839
43,Training,17700,0.0,0.0067468918447661725

43,Val,17700,0.0,0.009193491678094096
43,Val,17700,0.0,0.008359050035833229

44,Training,18000,0.0,0.009136065021304516
44,Training,18000,0.0,0.007902310730131852

44,Val,18000,0.0,0.009210331947579553
44,Val,18000,0.0,0.008338941719134966

45,Training,18300,0.0,0.008886997630052886
45,Training,18300,0.0,0.007723338993677802

45,Val,18300,0.0,0.009334346972084226
45,Val,18300,0.0,0.00840739648904285

46,Training,18600,0.0,0.009163716793512413
46,Training,18600,0.0,0.008095625134853

46,Val,18600,0.0,0.00898263400587223
46,Val,18600,0.0,0.008261980398041574

46,Training,18900,0.0,0.008862823177116057
46,Training,18900,0.0,0.007485647476495636

46,Val,18900,0.0,0.009449326684055915
46,Val,18900,0.0,0.008355251107423483

47,Training,19200,0.0,0.009224975136144953
47,Training,19200,0.0,0.007822602842836743

47,Val,19200,0.0,0.008994343442034302
47,Val,19200,0.0,0.008859502018650735

48,Training,19500,0.0,0.009477281744166444
48,Training,19500,0.0,0.007013575602999468

48,Val,19500,0.0,0.008875723614099532
48,Val,19500,0.0,0.008153455472917598

48,Training,19800,0.0,0.006934305321011112
48,Training,19800,0.0,0.006114377406865407

48,Val,19800,0.0,0.010039313367695547
48,Val,19800,0.0,0.0082840666076427

49,Training,20100,0.0,0.009246568393980728
49,Training,20100,0.0,0.007736281378749116

49,Val,20100,0.0,0.008900975184209787
49,Val,20100,0.0,0.008222143087944805

50,Training,20400,0.0,0.008455296705110896
50,Training,20400,0.0,0.00760328820265815

50,Val,20400,0.0,0.009135253274644949
50,Val,20400,0.0,0.008603579446202972

51,Training,20700,0.0,0.00891398755398304
51,Training,20700,0.0,0.008131437623020994

51,Val,20700,0.0,0.008881633041970951
51,Val,20700,0.0,0.008339152850901924

51,Training,21000,0.0,0.007744081372194567
51,Training,21000,0.0,0.006506647720051409

51,Val,21000,0.0,0.009968229220983948
51,Val,21000,0.0,0.008162361162855318

52,Training,21300,0.0,0.008991189227026547
52,Training,21300,0.0,0.007629949184137996

52,Val,21300,0.0,0.008891764587294978
52,Val,21300,0.0,0.008686144911990273

53,Training,21600,0.0,0.009330363785684677
53,Training,21600,0.0,0.007311686128874452

53,Val,21600,0.0,0.00919658769956245
53,Val,21600,0.0,0.008272430240121451

54,Training,21900,0.0,0.006574441362148334
54,Training,21900,0.0,0.00807367408718842

54,Val,21900,0.0,0.008770406976491247
54,Val,21900,0.0,0.0082905229701135

54,Training,22200,0.0,0.008559174160808508
54,Training,22200,0.0,0.007159241070636217

54,Val,22200,0.0,0.008617287919115696
54,Val,22200,0.0,0.008150614466992282

55,Training,22500,0.0,0.00907328727214627
55,Training,22500,0.0,0.008001123839182242

55,Val,22500,0.0,0.009102849762337118
55,Val,22500,0.0,0.008305781892694196

56,Training,22800,0.0,0.008703861987342304
56,Training,22800,0.0,0.0073769479125489505

56,Val,22800,0.0,0.008800131701435482
56,Val,22800,0.0,0.00809839941219969

56,Training,23100,0.0,0.006943966045944603
56,Training,23100,0.0,0.0059176878488367245

56,Val,23100,0.0,0.009029892173524711
56,Val,23100,0.0,0.00829419516721104

57,Training,23400,0.0,0.008887463422065922
57,Training,23400,0.0,0.007450045180774972

57,Val,23400,0.0,0.00903183196945062
57,Val,23400,0.0,0.007996931309502082

58,Training,23700,0.0,0.008797234920795358
58,Training,23700,0.0,0.007114324197812004

58,Val,23700,0.0,0.00878264449171168
58,Val,23700,0.0,0.008070984598036865

59,Training,24000,0.0,0.008439622874324787
59,Training,24000,0.0,0.007981361628020985

59,Val,24000,0.0,0.008887512391130543
59,Val,24000,0.0,0.008118881386929424

59,Training,24300,0.0,0.007826624533812552
59,Training,24300,0.0,0.00653681618307229

59,Val,24300,0.0,0.00904632634172344
59,Val,24300,0.0,0.008012276802918349

60,Training,24600,0.0,0.008981019244772046
60,Training,24600,0.0,0.007324319281945675

60,Val,24600,0.0,0.008650784788272754
60,Val,24600,0.0,0.008126607970472809

61,Training,24900,0.0,0.008724388510097967
61,Training,24900,0.0,0.00792954087551367

61,Val,24900,0.0,0.008738395196970448
61,Val,24900,0.0,0.00847332586539453

62,Training,25200,0.0,0.009491825258554132
62,Training,25200,0.0,0.007760708816201991

62,Val,25200,0.0,0.008584939698220443
62,Val,25200,0.0,0.007973919364060332

62,Training,25500,0.0,0.008739881850406873
62,Training,25500,0.0,0.00721815876164401

62,Val,25500,0.0,0.008553196405448635
62,Val,25500,0.0,0.008126996596959223

63,Training,25800,0.0,0.008795701829778032
63,Training,25800,0.0,0.007734750448044965

63,Val,25800,0.0,0.008878119082945739
63,Val,25800,0.0,0.00798952587795039

64,Training,26100,0.0,0.008501227110767002
64,Training,26100,0.0,0.007126732932055951

64,Val,26100,0.0,0.008979346114039435
64,Val,26100,0.0,0.008126092056239414

64,Training,26400,0.0,0.0069820849005402166
64,Training,26400,0.0,0.005844846112105172

64,Val,26400,0.0,0.008630056555430737
64,Val,26400,0.0,0.008344704559496176

65,Training,26700,0.0,0.009049240983810266
65,Training,26700,0.0,0.007519883306852582

65,Val,26700,0.0,0.008678572086993911
65,Val,26700,0.0,0.008013547453250598

66,Training,27000,0.0,0.008505879446072095
66,Training,27000,0.0,0.0073175048095538795

66,Val,27000,0.0,0.008661726266797558
66,Val,27000,0.0,0.008360598591482013

67,Training,27300,0.0,0.00820971344486117
67,Training,27300,0.0,0.006655461783709914

67,Val,27300,0.0,0.009057267775886248
67,Val,27300,0.0,0.007899850332653916

67,Training,27600,0.0,0.007744489617210043
67,Training,27600,0.0,0.00647439707904724

67,Val,27600,0.0,0.008794946387818308
67,Val,27600,0.0,0.00804084401264037

68,Training,27900,0.0,0.008555003724729613
68,Training,27900,0.0,0.007311017710789513

68,Val,27900,0.0,0.00844621498570239
68,Val,27900,0.0,0.007939367752809318

69,Training,28200,0.0,0.008540438290180839
69,Training,28200,0.0,0.007432764202323806

69,Val,28200,0.0,0.008943346026511527
69,Val,28200,0.0,0.007841068766301786

70,Training,28500,0.0,0.0057832148281516385
70,Training,28500,0.0,0.004182705900495233

70,Val,28500,0.0,0.008466380732780257
70,Val,28500,0.0,0.007956142049972394

70,Training,28800,0.0,0.008537248147600221
70,Training,28800,0.0,0.00728134425327218

70,Val,28800,0.0,0.009467801710131786
70,Val,28800,0.0,0.007736321035919067

71,Training,29100,0.0,0.008406092096298395
71,Training,29100,0.0,0.007336991909935193

71,Val,29100,0.0,0.008359801292372713
71,Val,29100,0.0,0.007917325454692545

72,Training,29400,0.0,0.008880159376959601
72,Training,29400,0.0,0.007155444997088066

72,Val,29400,0.0,0.008570920843330563
72,Val,29400,0.0,0.008134254145608913

72,Training,29700,0.0,0.00682681426364889
72,Training,29700,0.0,0.0057687310742205455

72,Val,29700,0.0,0.009340611213139241
72,Val,29700,0.0,0.008255783345219049

73,Training,30000,0.0,0.00870682258092586
73,Training,30000,0.0,0.007158007724863001

73,Val,30000,0.0,0.008292027142043665
73,Val,30000,0.0,0.008679878044972392

74,Training,30300,0.0,0.008826929825437167
74,Training,30300,0.0,0.0070177071385620115

74,Val,30300,0.0,0.008346595722903052
74,Val,30300,0.0,0.007839717357984504

75,Training,30600,0.0,0.007963390405191164
75,Training,30600,0.0,0.007017241784982496

75,Val,30600,0.0,0.008493632101392262
75,Val,30600,0.0,0.0082683421095623

75,Training,30900,0.0,0.007514145997037599
75,Training,30900,0.0,0.006539322827907753

75,Val,30900,0.0,0.008514296890046775
75,Val,30900,0.0,0.0077585235453846895

76,Training,31200,0.0,0.008686085146667901
76,Training,31200,0.0,0.007071681658321361

76,Val,31200,0.0,0.00865996110421059
76,Val,31200,0.0,0.008018127844127311

77,Training,31500,0.0,0.008495102612030417
77,Training,31500,0.0,0.007207339674066144

77,Val,31500,0.0,0.008485102750053972
77,Val,31500,0.0,0.007729145238865757

77,Training,31800,0.0,0.006214252314803762
77,Training,31800,0.0,0.005230667616739746

77,Val,31800,0.0,0.008740810030813064
77,Val,31800,0.0,0.007801186692961199

78,Training,32100,0.0,0.00856631994806947
78,Training,32100,0.0,0.007153736323909044

78,Val,32100,0.0,0.008555325709256816
78,Val,32100,0.0,0.007857838096669706

79,Training,32400,0.0,0.008427830037770636
79,Training,32400,0.0,0.007397683448793378

79,Val,32400,0.0,0.008487313744250003
79,Val,32400,0.0,0.007795050738770486

80,Training,32700,0.0,0.008371222115599658
80,Training,32700,0.0,0.006978315240454241

80,Val,32700,0.0,0.008406094888759279
80,Val,32700,0.0,0.007859698284478757

80,Training,33000,0.0,0.006879237417137464
80,Training,33000,0.0,0.005771689079824242

80,Val,33000,0.0,0.00847539318408428
80,Val,33000,0.0,0.007851147614892003

81,Training,33300,0.0,0.008539418784641544
81,Training,33300,0.0,0.0071796365101225185

81,Val,33300,0.0,0.008553428356409693
81,Val,33300,0.0,0.007689543950396526

82,Training,33600,0.0,0.008182348600984534
82,Training,33600,0.0,0.006992199288963843

82,Val,33600,0.0,0.008301245999799478
82,Val,33600,0.0,0.008365327432050533

83,Training,33900,0.0,0.008845920547317159
83,Training,33900,0.0,0.00689425695616207

83,Val,33900,0.0,0.008329210572969335
83,Val,33900,0.0,0.007660489467848176

83,Training,34200,0.0,0.007573188378455506
83,Training,34200,0.0,0.006444388786500329

83,Val,34200,0.0,0.008338423515937374
83,Val,34200,0.0,0.007747024079473704

84,Training,34500,0.0,0.00820021062547929
84,Training,34500,0.0,0.007049562797628644

84,Val,34500,0.0,0.008579950058246648
84,Val,34500,0.0,0.007709475428586762

85,Training,34800,0.0,0.008565332056516835
85,Training,34800,0.0,0.007419145266716181

85,Val,34800,0.0,0.0085614137027195
85,Val,34800,0.0,0.007968827182180342

85,Training,35100,0.0,0.0061806494018844926
85,Training,35100,0.0,0.005142320128158044

85,Val,35100,0.0,0.008526498151969758
85,Val,35100,0.0,0.00764718157114637

86,Training,35400,0.0,0.008577106344543116
86,Training,35400,0.0,0.007168374504514116

86,Val,35400,0.0,0.008335452646933096
86,Val,35400,0.0,0.008004540355809397

87,Training,35700,0.0,0.008752267874740047
87,Training,35700,0.0,0.006608013332103936

87,Val,35700,0.0,0.008747796016836696
87,Val,35700,0.0,0.00802975615236987

88,Training,36000,0.0,0.0081241865369262
88,Training,36000,0.0,0.0071108726990820915

88,Val,36000,0.0,0.008356684199522341
88,Val,36000,0.0,0.007833402341802806

88,Training,36300,0.0,0.006948830437646394
88,Training,36300,0.0,0.0057462584509876185

88,Val,36300,0.0,0.008364493484893895
88,Val,36300,0.0,0.007989836004135139

89,Training,36600,0.0,0.008491263971578906
89,Training,36600,0.0,0.007137073592352185

89,Val,36600,0.0,0.008482765326655818
89,Val,36600,0.0,0.0076423758846607655

90,Training,36900,0.0,0.008729939851374402
90,Training,36900,0.0,0.007314848027553878

90,Val,36900,0.0,0.008360932018318864
90,Val,36900,0.0,0.007996349767095205

91,Training,37200,0.0,0.008483441811700116
91,Training,37200,0.0,0.007728396003420557

91,Val,37200,0.0,0.008401498702199263
91,Val,37200,0.0,0.007754946874710291

91,Training,37500,0.0,0.007689344976513423
91,Training,37500,0.0,0.006338794650414298

91,Val,37500,0.0,0.008690779403820263
91,Val,37500,0.0,0.007732943138595501

92,Training,37800,0.0,0.008416826924572454
92,Training,37800,0.0,0.007036052455240843

92,Val,37800,0.0,0.008284204761692048
92,Val,37800,0.0,0.007719579175858729

93,Training,38100,0.0,0.00834547730579935
93,Training,38100,0.0,0.007065335596323321

93,Val,38100,0.0,0.008287058738358832
93,Val,38100,0.0,0.007689405951515963

93,Training,38400,0.0,0.006220510280459726
93,Training,38400,0.0,0.00520316151471488

93,Val,38400,0.0,0.00838513866639073
93,Val,38400,0.0,0.007874788086356591

94,Training,38700,0.0,0.008538664721015556
94,Training,38700,0.0,0.007016290343094459

94,Val,38700,0.0,0.00850399348870832
94,Val,38700,0.0,0.007617941723718267

95,Training,39000,0.0,0.00863258677716005
95,Training,39000,0.0,0.007018921349857595

95,Val,39000,0.0,0.008249619636850175
95,Val,39000,0.0,0.007770696179559385

96,Training,39300,0.0,0.008185360525248667
96,Training,39300,0.0,0.007010563964428981

96,Val,39300,0.0,0.00868984940904197
96,Val,39300,0.0,0.007847551950922937

96,Training,39600,0.0,0.006926624953582925
96,Training,39600,0.0,0.005841168663462821

96,Val,39600,0.0,0.008652531836050777
96,Val,39600,0.0,0.008130300797200264

97,Training,39900,0.0,0.008252076539937488
97,Training,39900,0.0,0.006681400583301314

97,Val,39900,0.0,0.008598945246221807
97,Val,39900,0.0,0.00760250145279963

98,Training,40200,0.0,0.008249124220582476
98,Training,40200,0.0,0.006891440390413637

98,Val,40200,0.0,0.008248681335386285
98,Val,40200,0.0,0.0075995496326228115

99,Training,40500,0.0,0.008688906723625442
99,Training,40500,0.0,0.006731436274585809

99,Val,40500,0.0,0.008240810047822433
99,Val,40500,0.0,0.007577463676364958

99,Training,40800,0.0,0.007682492038209686
99,Training,40800,0.0,0.006489351645705768

99,Val,40800,0.0,0.008217608974508248
99,Val,40800,0.0,0.0077218211346725164

100,Training,41100,0.0,0.008164295088404116
100,Training,41100,0.0,0.007007589722989242

100,Val,41100,0.0,0.008245130580966348
100,Val,41100,0.0,0.007799295440422985

